"ID","Gemeinde_de","Gemeinde_fr","Gemeinde_it","Text_de","Text_fr","Text_it","Tabelle_de","Tabelle_fr","Tabelle_it","Staerkste_Partei"
1001,"Doppleschwand LU","Doppleschwand (LU)","Doppleschwand LU","Mit einem grossen Sprung von +7,8 Prozentpunkten ist die <b>SVP</b> neu die stärkste Partei in Doppleschwand. Die Partei erhält 43,3 Prozent der Wählerstimmen.<br><br>Trotz einem Minus von -10,1 Prozentpunkten gegenüber den Wahlen 2019 belegt die <b>Mitte</b> immer noch den zweiten Platz. Dies dank eines Wähleranteils von 39,1 Prozent.<br><br>Der dritte Platz geht an die <b>FDP</b>. Die Partei erreicht 10,9 Prozent der Stimmen (Veränderung von +1,6 Prozentpunkten gegenüber 2019).","L'<b>UDC</b> réalise un bond un avant (+7,8 points de pourcentage). Le voilà le parti le plus fort de Doppleschwand, avec 43,3 % des voix.<br><br>Le <b>Centre</b> perd beaucoup de voix. Le parti enregistre un recul de -10,1 points de pourcentage par rapport aux élections de 2019. Malgré cela, la formation reste en deuxième position avec 39,1 % d'électeurs.<br><br>A la troisième place figure le <b><b>PL</b>R</b>, qui réalise 10,9 % des voix (+1,6).","Il partito <b>UDC</b> aumenta significativamente la sua percentuale di voti a Doppleschwand (+7,8 punti percentuali), diventando così la formazione più forte. Alla fine ottiene il 43,3 percento dei voti degli elettori.<br><br>Nonostante una diminuzione di -10,1 punti percentuali rispetto alle elezioni del 2019, il partito <b>Centro</b> mantiene sempre la seconda posizione. Raccoglie il 39,1 percento dei voti.<br><br>Il partito <b>PLR</b> si posiziona terzo con il 10,9 percento dei voti. Questo rappresenta una variazione di +1,6 punti percentuali rispetto al 2019.","tab_h$tr£$td£SVP$/td£tab_r165tab_r2#547d34tab_r3$td£$b£43.3%$/b£$/td£§+7.8$/td£$/tr£$tr£$td£Mitte$/td£tab_r159tab_r2#f39f5etab_r3$td£$b£39.1%$/b£$/td£§-10.1$/td£$/tr£$tr£$td£FDP$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.9%$/b£$/td£§+1.6$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£381$/b£$br£Wahlbeteiligung: $b£62.6%$/b£ (+11.7%)","tab_h_fr$tr£$td£UDC$/td£tab_r165tab_r2#547d34tab_r3$td£$b£43.3%$/b£$/td£§+7.8$/td£$/tr£$tr£$td£Centre$/td£tab_r159tab_r2#f39f5etab_r3$td£$b£39.1%$/b£$/td£§-10.1$/td£$/tr£$tr£$td£PLR$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.9%$/b£$/td£§+1.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£381$/b£$br£Taux de participation: $b£62.6%$/b£ (+11.7%)","tab_h_it$tr£$td£UDC$/td£tab_r165tab_r2#547d34tab_r3$td£$b£43.3%$/b£$/td£§+7.8$/td£$/tr£$tr£$td£Centro$/td£tab_r159tab_r2#f39f5etab_r3$td£$b£39.1%$/b£$/td£§-10.1$/td£$/tr£$tr£$td£PLR$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.9%$/b£$/td£§+1.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£381$/b£$br£Tasso di partecipazione: $b£62.6%$/b£ (+11.7%)","SVP"
1002,"Entlebuch LU","Entlebuch (LU)","Entlebuch LU","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1004,"Flühli LU","Flühli (LU)","Flühli LU","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1005,"Hasle LU","Hasle (LU)","Hasle LU","Alles bleibt beim Alten in Hasle LU: Die drei stärksten Parteien verteidigen ihre Spitzenplätze in unveränderter Reihenfolge: Die <b>SVP</b> geht mit 45,9 Prozent (+4,1 Prozentpunkte) wieder als stärkste Kraft aus den Nationalratswahlen. Zweitstärkste Partei ist die <b>Mitte</b> (37,1 Prozent, -2,6 Prozentpunkte), drittstärkste die <b>FDP</b> (8,9 Prozent, -0,3 Prozentpunkte).<br><br>","Le classement n'a pas changé depuis quatre ans à Hasle (LU): l'<b>UDC</b> reste premier avec 45,9 % des voix. La formation devance le <b>Centre</b> (37,1 %, -2,6 points de pourcentage) et le <b><b>PL</b>R</b> (8,9 %, -0,3 points de pourcentage).<br><br>","Nulla è cambiato in quattro anni a Hasle LU: i tre stessi partiti rimangono in cima. Il partito <b>UDC</b> mantiene la sua posizione al primo posto con il 45,9 percento dei voti. Precede il partito <b>Centro</b> (37,1 percento, -2,6 punti percentuali) e il partito <b>PLR</b> (il 8,9 percento, -0,3 punti percentuali).<br><br>","tab_h$tr£$td£SVP$/td£tab_r169tab_r2#547d34tab_r3$td£$b£45.9%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r156tab_r2#f39f5etab_r3$td£$b£37.1%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£FDP$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.9%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£SP$/td£tab_r17tab_r2#ea546ftab_r3$td£$b£4.8%$/b£$/td£§-0.5$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£845$/b£$br£Wahlbeteiligung: $b£62.9%$/b£ (+7.4%)","tab_h_fr$tr£$td£UDC$/td£tab_r169tab_r2#547d34tab_r3$td£$b£45.9%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£Centre$/td£tab_r156tab_r2#f39f5etab_r3$td£$b£37.1%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£PLR$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.9%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£PS$/td£tab_r17tab_r2#ea546ftab_r3$td£$b£4.8%$/b£$/td£§-0.5$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£845$/b£$br£Taux de participation: $b£62.9%$/b£ (+7.4%)","tab_h_it$tr£$td£UDC$/td£tab_r169tab_r2#547d34tab_r3$td£$b£45.9%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£Centro$/td£tab_r156tab_r2#f39f5etab_r3$td£$b£37.1%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£PLR$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.9%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£PS$/td£tab_r17tab_r2#ea546ftab_r3$td£$b£4.8%$/b£$/td£§-0.5$/td£$/tr£$/table£$br£Schede elettorali valide: $b£845$/b£$br£Tasso di partecipazione: $b£62.9%$/b£ (+7.4%)","SVP"
1007,"Romoos LU","Romoos (LU)","Romoos LU","Die Spitzenplätze in Romoos bleiben gleich: Unverändert belegen die <b>Mitte</b>, die <b>SVP</b> und die <b>FDP</b> die ersten drei Plätze. Sie holen 50,3 Prozent (-0,6 Prozentpunkte), 33,5 Prozent (+0,9 Prozentpunkte) respektive 10,1 Prozent (+1 Prozentpunkte) der Stimmen.<br><br>","Le trio de tête reste inchangé à Romoos: le <b>Centre</b> reste premier avec 50,3 % des voix. La formation devance l'<b>UDC</b> (33,5 %, +0,9 points de pourcentage) et le <b><b>PL</b>R</b> (10,1 %, +1 points). <br><br>","La classifica non è cambiata negli ultimi quattro anni a Romoos: il partito <b>Centro</b> rimane primo con il 50,3 percento dei voti. Precede il partito <b>UDC</b> (33,5 percento, +0,9 punti percentuali) e il partito <b>PLR</b> (il 10,1 percento, +1 punti percentuali).<br><br>","tab_h$tr£$td£Mitte$/td£tab_r175tab_r2#f39f5etab_r3$td£$b£50.3%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£SVP$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.5%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£FDP$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£10.1%$/b£$/td£§+1.0$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£335$/b£$br£Wahlbeteiligung: $b£72.8%$/b£ (+9.2%)","tab_h_fr$tr£$td£Centre$/td£tab_r175tab_r2#f39f5etab_r3$td£$b£50.3%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£UDC$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.5%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£10.1%$/b£$/td£§+1.0$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£335$/b£$br£Taux de participation: $b£72.8%$/b£ (+9.2%)","tab_h_it$tr£$td£Centro$/td£tab_r175tab_r2#f39f5etab_r3$td£$b£50.3%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£UDC$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.5%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£10.1%$/b£$/td£§+1.0$/td£$/tr£$/table£$br£Schede elettorali valide: $b£335$/b£$br£Tasso di partecipazione: $b£72.8%$/b£ (+9.2%)","Mitte"
1008,"Schüpfheim LU","Schüpfheim (LU)","Schüpfheim LU","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1009,"Werthenstein LU","Werthenstein (LU)","Werthenstein LU","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","Resultat liegt noch nicht vor.","Résultats non encore disponibles.","Risultato non ancora disponibile.","no_data"
1010,"Escholzmatt-Marbach LU","Escholzmatt-Marbach (LU)","Escholzmatt-Marbach LU","Kein Weg führt in Escholzmatt-Marbach an der <b>Mitte</b> vorbei. Die Partei holt mehr als die Hälfte der Stimmen und damit eine absolute Mehrheit.<br><br>Die <b>SVP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 35,1 Prozent (-2,6 Prozentpunkte).<br><br>Die <b>FDP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 7,6 Prozent (Veränderung gegenüber 2019: -2,8 Prozentpunkte).","Le <b>Centre</b> règne en maître à Escholzmatt-Marbach. Le parti remporte la majorité absolue des voix.<br><br>L'<b>UDC</b> arrive en deuxième position dans la commune avec un pourcentage de votants de 35,1 (-2,6 points de pourcentage).<br><br>La troisième place est occupée par le <b><b>PL</b>R</b>. Le parti emmagasine 7,6 % des voix (-2,8 points de pourcentage par rapport à 2019) ","Il partito <b>Centro</b> regna a Escholzmatt-Marbach, ottenendo la maggioranza assoluta dei voti.<br><br>Il partito <b>UDC</b> è il secondo partito più forte a Escholzmatt-Marbach. Si è migliorato di -2,6 punti percentuali rispetto alle elezioni per il Consiglio nazionale del 2019.<br><br>Il partito <b>PLR</b> completa il podio con il 7,6 percento dei voti (-2,8).","tab_h$tr£$td£Mitte$/td£tab_r175tab_r2#f39f5etab_r3$td£$b£50.3%$/b£$/td£§+8.1$/td£$/tr£$tr£$td£SVP$/td£tab_r153tab_r2#547d34tab_r3$td£$b£35.1%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£FDP$/td£tab_r111tab_r2#6268AFtab_r3$td£$b£7.6%$/b£$/td£§-2.8$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£2'201$/b£$br£Wahlbeteiligung: $b£64.6%$/b£ (+11.6%)","tab_h_fr$tr£$td£Centre$/td£tab_r175tab_r2#f39f5etab_r3$td£$b£50.3%$/b£$/td£§+8.1$/td£$/tr£$tr£$td£UDC$/td£tab_r153tab_r2#547d34tab_r3$td£$b£35.1%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£PLR$/td£tab_r111tab_r2#6268AFtab_r3$td£$b£7.6%$/b£$/td£§-2.8$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£2'201$/b£$br£Taux de participation: $b£64.6%$/b£ (+11.6%)","tab_h_it$tr£$td£Centro$/td£tab_r175tab_r2#f39f5etab_r3$td£$b£50.3%$/b£$/td£§+8.1$/td£$/tr£$tr£$td£UDC$/td£tab_r153tab_r2#547d34tab_r3$td£$b£35.1%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£PLR$/td£tab_r111tab_r2#6268AFtab_r3$td£$b£7.6%$/b£$/td£§-2.8$/td£$/tr£$/table£$br£Schede elettorali valide: $b£2'201$/b£$br£Tasso di partecipazione: $b£64.6%$/b£ (+11.6%)","Mitte"
1021,"Aesch LU","Aesch (LU)","Aesch LU","Die <b>SVP</b> ist weiterhin die stärkste Kraft in Aesch LU. Mit 35,7 Prozent Wähleranteil verweist die Partei die <b>Mitte</b> allerdings nur mit 1,8 Prozentpunkten Abstand auf den zweiten Platz. Die zweitstärkste Partei holt 33,9 Prozent. Die Veränderungen gegenüber 2019: <b>SVP</b>: +0,1 Prozentpunkte; <b>Mitte</b>: +3,7 Prozentpunkte.<br><br>Auf dem dritten Platz landet die <b>FDP</b> mit 13,8 Prozent der Stimmen. Das bedeutet eine Veränderung von 0 Prozentpunkten gegenüber 2019. ","Avec 35,7 % des voix (+0,1 points de pourcentage), l'<b>UDC</b> est toujours le parti le plus fort à Aesch (LU). Le <b>Centre</b>, qui réalise 33,9 % des suffrages (+3,7 points de pourcentage), est cependant en embuscade. L'écart entre les deux formations politiques est de 1,8 points.<br><br>La troisième place est occupée par le <b><b>PL</b>R</b>. La formation obtient un pourcentage d'électeurs de 13,8. (0 points de pourcentage de différence par rapport à 2019).","Con il 35,7 percento dei voti (+0,1 punti percentuali), il partito <b>UDC</b> rimane in testa a Aesch LU. Tuttavia, il partito <b>Centro</b>, che ottiene il 33,9 percento dei voti (+3,7 punti percentuali), è in agguato. La differenza tra i due partiti è di 1,8 punti.<br><br>Il partito <b>PLR</b> completa il podio con il 13,8 percento dei voti (0).","tab_h$tr£$td£SVP$/td£tab_r154tab_r2#547d34tab_r3$td£$b£35.7%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r151tab_r2#f39f5etab_r3$td£$b£33.9%$/b£$/td£§+3.7$/td£$/tr£$tr£$td£FDP$/td£tab_r121tab_r2#6268AFtab_r3$td£$b£13.8%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£GLP$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.8%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£SP$/td£tab_r16tab_r2#ea546ftab_r3$td£$b£4.0%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£weitere$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.9%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£Grüne$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.3%$/b£$/td£§-5.7$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£480$/b£$br£Wahlbeteiligung: $b£51.7%$/b£ (+0.9%)","tab_h_fr$tr£$td£UDC$/td£tab_r154tab_r2#547d34tab_r3$td£$b£35.7%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Centre$/td£tab_r151tab_r2#f39f5etab_r3$td£$b£33.9%$/b£$/td£§+3.7$/td£$/tr£$tr£$td£PLR$/td£tab_r121tab_r2#6268AFtab_r3$td£$b£13.8%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.8%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PS$/td£tab_r16tab_r2#ea546ftab_r3$td£$b£4.0%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£Divers$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.9%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.3%$/b£$/td£§-5.7$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£480$/b£$br£Taux de participation: $b£51.7%$/b£ (+0.9%)","tab_h_it$tr£$td£UDC$/td£tab_r154tab_r2#547d34tab_r3$td£$b£35.7%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Centro$/td£tab_r151tab_r2#f39f5etab_r3$td£$b£33.9%$/b£$/td£§+3.7$/td£$/tr£$tr£$td£PLR$/td£tab_r121tab_r2#6268AFtab_r3$td£$b£13.8%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.8%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PS$/td£tab_r16tab_r2#ea546ftab_r3$td£$b£4.0%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£altro$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.9%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£Verdi$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.3%$/b£$/td£§-5.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£480$/b£$br£Tasso di partecipazione: $b£51.7%$/b£ (+0.9%)","SVP"
1023,"Ballwil LU","Ballwil (LU)","Ballwil LU","In Ballwil ist neu die <b>Mitte</b> die stärkste Kraft (Rang vor vier Jahren: 2). Bei den diesjährigen Nationalratswahlen vereinigt die Partei 35,1 Prozent der Stimmen auf sich.<br><br>Mit einem Wählerstimmenanteil von 34,6 Prozent (+2,1 Prozentpunkte) ist die <b>SVP</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Den dritten Platz belegt die <b>FDP</b>. Die Partei erzielt einen Wähleranteil von 11,6 Prozent (Veränderung gegenüber 2019: -1,6 Prozentpunkte).","Le <b>Centre</b> progresse. La formation passe du rang numero deux à la première place à Ballwil. Le parti remporte 35,1 pourcent des voix (+2,8 points de pourcentage).<br><br>Le deuxième rang est occupé par l'<b>UDC</b> qui réalise 34,6 % des voix (+2,1 points de pourcentage par rapport à 2019).<br><br>A la troisième place figure le <b><b>PL</b>R</b>, qui réalise 11,6 % des voix (-1,6).","Il partito <b>Centro</b> progredisce. Passa dal due esimo posto al primo a Ballwil, ottenendo il 35,1 percento dei voti (+2,8 punti percentuali).<br><br>Il partito <b>UDC</b> arriva in seconda posizione nel comune con una percentuale di votanti del 34,6 (+2,1 punti percentuali).<br><br>Al terzo posto troviamo il partito <b>PLR</b> con il 11,6 percento dei voti (-1,6).","tab_h$tr£$td£Mitte$/td£tab_r153tab_r2#f39f5etab_r3$td£$b£35.1%$/b£$/td£§+2.8$/td£$/tr£$tr£$td£SVP$/td£tab_r152tab_r2#547d34tab_r3$td£$b£34.6%$/b£$/td£§+2.1$/td£$/tr£$tr£$td£FDP$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.6%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£SP$/td£tab_r19tab_r2#ea546ftab_r3$td£$b£6.1%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£GLP$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£5.7%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£Grüne$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.6%$/b£$/td£§-3.3$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'043$/b£$br£Wahlbeteiligung: $b£52.5%$/b£ (+1.5%)","tab_h_fr$tr£$td£Centre$/td£tab_r153tab_r2#f39f5etab_r3$td£$b£35.1%$/b£$/td£§+2.8$/td£$/tr£$tr£$td£UDC$/td£tab_r152tab_r2#547d34tab_r3$td£$b£34.6%$/b£$/td£§+2.1$/td£$/tr£$tr£$td£PLR$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.6%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£PS$/td£tab_r19tab_r2#ea546ftab_r3$td£$b£6.1%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£5.7%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.6%$/b£$/td£§-3.3$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£1'043$/b£$br£Taux de participation: $b£52.5%$/b£ (+1.5%)","tab_h_it$tr£$td£Centro$/td£tab_r153tab_r2#f39f5etab_r3$td£$b£35.1%$/b£$/td£§+2.8$/td£$/tr£$tr£$td£UDC$/td£tab_r152tab_r2#547d34tab_r3$td£$b£34.6%$/b£$/td£§+2.1$/td£$/tr£$tr£$td£PLR$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.6%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£PS$/td£tab_r19tab_r2#ea546ftab_r3$td£$b£6.1%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£5.7%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£Verdi$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.6%$/b£$/td£§-3.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'043$/b£$br£Tasso di partecipazione: $b£52.5%$/b£ (+1.5%)","Mitte"
